tl,hanzi
siān-neh,𤺪呢
sú-sū,死侍
tiám-lu-îng-bōo,點攄螢幕
siá-khóo,寫許
hia̍p-koh,拹閣
kip-sò,急躁
pó-tshinn-mo̍oh,保鮮膜
tsuí-tshenn-tò-thâu-kiânn,水星倒頭行
tshu-kiā,趨崎
tē-tāng-bué,地動尾
guá-bē-hiáu,我袂曉
phuì-that-á,屁窒仔
hiông-sam-hui-tuânn,雄三飛彈
oo-pe̍h-tshì,烏白試
tuā-lia̍p-nn̄g,大粒卵
tshenn-hue,青花
tshinn-hue,青花
phō-khì-bong,抱去摸
tsun-siú-kui-kí,遵守規矩
tshuì,喙
uī-tso-tso,胃慒慒
sin-senn-á,新生仔
nn̄g-thah,卵塔
khàu-iau,哭枵
kha-tshiú-bô-tshing-khì,跤手無清氣
ak-tsak,齷齪
tâi-gí,台語
tâi-gú,台語
bân-lâm-gí,閩南語
bân-lâm-gú,閩南語
lāu-thuē,老傫
pēnn-kiánn,病囝
pīnn-kiánn,病囝
tsa-bóo-kiánn-tsha̍t,查某囝賊
kha-thâu-u,跤頭趺
tsù-siā,注射
sí-gín-á-póo,死囡仔脯
tsia̍h-pn̄g,食飯
āu-piah-ê,後壁的
kóng-pòo-tiān-tâi,廣播電台
tshuì-khí-thiànn,喙齒疼
iâm-lô-tshenn,閻羅星
iâm-lô-tshinn,閻羅星
má-tsóo-tshenn,媽祖星
má-tsóo-tshinn,媽祖星
thinn-kong-tshenn,天公星
thinn-kong-tshinn,天公星
thâu-tsîng,頭前
āu-bīn,後面
guá-ē-hiáu-kóng,我會曉講
phi̍h-phi̍h-tshuah,咇咇掣
siān-tauh-tauh,𤺪篤篤
e-phi-phi,
tsúi-sòo,水素
tinn-sòo,甜素
khóo-sòo,苦素
lí-hó,你好
iâm-sòo,鹽素
tshàu-sòo,臭素
phah-tshia-phiò,拍車票
han-tsî-hio̍h,番薯葉
mî-nuā,綿爛
tshiah-ia̍h,刺疫
kuè-kau-tshài,過溝菜
kè-kau-tshài,過溝菜
oo-tshinn,烏青
oo-tshenn,烏青
tshuah-sái,疶屎
iu-iû-khah,悠遊卡
tu̍h-lān,揬𡳞
pháng-kauh,麭𩛩
giâ-nn̄g,鵝卵
gô-nn̄g,鵝卵
bí-kok-kuah-pau,美國割包
tâi-uân,臺灣
kàn-lín-niâ,姦恁娘
kâu-sí-gín-á,猴死囡仔
tánn-kiap,打劫
han-tsî-hio̍h-á,番薯葉仔
han-tsû-hio̍h-á,番薯葉仔
se-tsng,梳妝
sue-tsng,梳妝
ún-hîng-ba̍k-kiànn,隱形目鏡
lí-kóng--leh,你講咧
sàng-sòo,酸素
ē-poo-tê,下晡茶
e-poo-tê,下晡茶
kha-tshiú-tsiān,跤手賤
kuah-tshia-tuann,割車單
kue-á-tshiu,瓜仔鬚
kái-pinn,骱邊
tio̍h--bô,著無
sé-bīn-tsō,洗面皂
sué-bīn-tsō,洗面皂
sé-bīn--ê,洗面的
sué-bīn--ê,洗面的
han-tsû-hio̍h,番薯葉
ti-tshài,豬菜
hué-sio-sim,火燒心
tshut-sing-ji̍t-kî,出生日期
gîng-hueh,凝血
gîng-huih,凝血
ba̍k-tshái,目彩
bàng-gah,漫畫
bàng-kah,漫畫
bīn-tsu,面書
bīn-tsir,面書
tshut-sì-nî-gue̍h,出世年月
tshut-sì-nî-ge̍h,出世年月
tsheh-hîng-tiān-náu,冊型電腦
tah-ba̍k-kiànn-jîn,貼目鏡仁
tsian-tsuí-kiáu,煎水餃
té-kûn,短裙
thài-pîng-tóo,太平島
tshiau-kip-tshī-tiûnn,超級市場
liông-kut-tshué,龍骨髓
liông-kut-tshé,龍骨髓
to-lá-é-bōng,
án-tsuánn-kóng,按怎講
tōo-tsiam,度針
thâu-khak,頭殼
bān-tshiánn-sī,慢且是
bān-tshiánn-ī,慢且是
tsah-sin-ji̍p-tiān-a̍p,紮身入電盒
kâu-gín-á,猴囡仔
lù-khah,鑢卡
tshit-hō-á,七號仔
ang--ê-guá-ài--lí,翁的我愛你
thâu--ê-guá-ài--lí,頭的我愛你
thún-ta̍h-bîn-tsú,𧿬踏民主
au-bú,後母
tsuí-tshenn-gi̍k-hîng,水星逆行
tsuí-tshinn-gi̍k-hîng,水星逆行
sāi-thái,撒體
tiàu-khòo,吊褲
tiān-sī-tâi,電視台
khàu-pē-khàu-bú,哭爸哭母
pó-kè-bōng,寶價望
tsuí-ah-tshia,水鴨車
án-ná-kóng,按怎講
liông-kut,龍骨
tshit--á,七仔
tshè-siong,摖傷
tshòng-siánn,創啥
kâu-thâu-kó,猴頭果
sńg-tsuí,耍水
tòng-làu-sái-io̍h,擋落屎藥
sîn-king-thiànn,神經疼
oo-sái,烏屎
lí-lōo,理路
khà-tshiú-ki-á,敲手機仔
tòo-tīn-ti̍k-kong,鬥陣特攻
môo-siū-tsing-pà,魔獸爭霸
tông-sìng-luân,同性戀
ba̍k-tsiah-mn̂g-giap-á,目睫毛鋏仔
kóng-tsi̍t-ê-pì-kuat,講一个祕訣
lâu-uē,留話
bīn-tsheh,面冊
lah-sap-uē,垃圾話
hah-hân,哈韓
hah-ji̍t,哈日
khóng-bîng-ting,孔明燈
suí-tang-tang,媠噹噹
a-bîng,阿明
kāng-sìng-luân,仝性戀
phî-khá-tsiù,皮巧啾
