hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo,is_variant
着,tio̍h,8871,tio̍h,tioh8,tioh8,tioh,tioh,,,True,False
蔘,sim,1279,sim,sim1,sim1,sim,sim,,,True,True
爲,uī,1138,ūi,ui7,ui7,ui,ui,,,True,False
着,to̍h,1132,to̍h,toh8,toh8,toh,toh,,,True,False
壙,khǹg,963,khǹg,khng3,khng3,khng,khng,,,True,False
正實,tsiann-si̍t,500,chiaⁿ-si̍t,tsiann1sit8,chiann1sit8,tsiannsit,chiannsit,ts,cs,True,False
侢,tsāi,350,chāi,tsai7,chai7,tsai,chai,,,True,False
卍,bān,293,bān,ban7,ban7,ban,ban,,,True,False
歳,suè,260,sòe,sue3,soe3,sue,soe,,,True,False
菓,ké,176,ké,ke2,ke2,ke,ke,,,True,False
罣,kuà,169,kòa,kua3,koa3,kua,koa,,,True,False
歳,hè,157,hè,he3,he3,he,he,,,True,False
鈎,kau,150,kau,kau1,kau1,kau,kau,,,True,False
叙,sū,102,sū,su7,su7,su,su,,,True,False
食,sū,102,sū,su7,su7,su,su,,,True,False
葵,khe,101,khe,khe1,khe1,khe,khe,,,True,False
艸,tsháu,100,chháu,tshau2,chhau2,tshau,chhau,,,True,False
閑,ân,100,ân,an5,an5,an,an,,,True,False
閒,ân,100,ân,an5,an5,an,an,,,True,False
肩,kuinn,55,kuiⁿ,kuinn1,kuinn1,kuinn,kuinn,,,True,False
間,kuinn,55,kuiⁿ,kuinn1,kuinn1,kuinn,kuinn,,,True,False
⺗,sim,50,sim,sim1,sim1,sim,sim,,,True,False
⺮,tik,50,tek,tik4,tek4,tik,tek,,,True,False
⺼,hi̍k,50,he̍k,hik8,hek8,hik,hek,,,True,False
⺼,jio̍k,50,jio̍k,jiok8,jiok8,jiok,jiok,,,True,False
⺼,lio̍k,50,lio̍k,liok8,liok8,liok,liok,,,True,False
⻍,thiok,50,thiok,thiok4,thiok4,thiok,thiok,,,True,False
⻍,tshiok,50,chhiok,tshiok4,chhiok4,tshiok,chhiok,,,True,False
⻏,ip,50,ip,ip4,ip4,ip,ip,,,True,False
じゃんけん,giāng,50,giāng,giang7,giang7,giang,giang,,,True,False
じゃん拳,giāng,50,giāng,giang7,giang7,giang,giang,,,True,False
パン,pháng,50,pháng,phang2,phang2,phang,phang,,,True,False
㖢,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True,False
㖢,tsû,50,chû,tsu5,chu5,tsu,chu,,,True,False
㝹,liô,50,liô,lio5,lio5,lio,lio,,,True,False
㞐,kir,50,kir,kir1,kir1,kir,kir,,,True,False
㠁,tsherm,50,chherm,tsherm1,chherm1,tsherm,chherm,,,True,False
㠁,tshim,50,chhim,tshim1,chhim1,tshim,chhim,,,True,False
㣺,sim,50,sim,sim1,sim1,sim,sim,,,True,False
㤉,gêr,50,gêr,ger5,ger5,ger,ger,,,True,False
㧎,khêe,50,khêe,khee5,khee5,khee,khee,,,True,False
㹑,sìr,50,sìr,sir3,sir3,sir,sir,,,True,False
㹑,sù,50,sù,su3,su3,su,su,,,True,False
䂜,pāng,50,pāng,pang7,pang7,pang,pang,,,True,False
䂜,pǎng,50,pǎng,pang6,pang6,pang,pang,,,True,False
䎣,sīr,50,sīr,sir7,sir7,sir,sir,,,True,False
䎣,sū,50,sū,su7,su7,su,su,,,True,False
䎣,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True,False
䖳,thēe,50,thēe,thee7,thee7,thee,thee,,,True,False
䥑,be̍eh,50,be̍eh,beeh8,beeh8,beeh,beeh,,,True,False
䥑,be̍h,50,be̍h,beh8,beh8,beh,beh,,,True,False
䳄,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True,False
䳄,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True,False
䳄,tsir,50,chir,tsir1,chir1,tsir,chir,,,True,False
䳄,tsu,50,chu,tsu1,chu1,tsu,chu,,,True,False
一,tsi̍k,50,che̍k,tsik8,chek8,tsik,chek,,,True,False
七,tshik,50,chhek,tshik4,chhek4,tshik,chhek,,,True,False
丄,sióng,50,sióng,siong2,siong2,siong,siong,,,True,False
丄,siāng,50,siāng,siang7,siang7,siang,siang,,,True,False
丄,siōng,50,siōng,siong7,siong7,siong,siong,,,True,False
丄,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True,False
丄,tshiōnn,50,chhiōⁿ,tshionn7,chhionn7,tshionn,chhionn,,,True,False
丄,tshiūnn,50,chhiūⁿ,tshiunn7,chhiunn7,tshiunn,chhiunn,,,True,False
丄,tshiǔnn,50,chhiǔⁿ,tshiunn6,chhiunn6,tshiunn,chhiunn,,,True,False
丄,tsiōnn,50,chiōⁿ,tsionn7,chionn7,tsionn,chionn,,,True,False
丄,tsiūnn,50,chiūⁿ,tsiunn7,chiunn7,tsiunn,chiunn,,,True,False
丄,tsiǔnn,50,chiǔⁿ,tsiunn6,chiunn6,tsiunn,chiunn,,,True,False
