tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source,is_variant
tsi̍t,chi̍t,一,tsit,chit,1,kautian,False
it,it,一,it,it,1,kautian,False
tsi̍t-ē,chi̍t-ē,一下,tsit-e,chit-e,2,kautian,False
tsi̍t-gue̍h-ji̍t,chi̍t-goe̍h-ji̍t,一月日,tsit-gueh-jit,chit-goeh-jit,3,kautian,False
tsi̍t-ge̍h-li̍t,chi̍t-ge̍h-li̍t,一月日,tsit-geh-lit,chit-geh-lit,3,kautian,False
tsi̍t-sì-lâng,chi̍t-sì-lâng,一世人,tsit-si-lang,chit-si-lang,3,kautian,False
tsi̍t-puànn,chi̍t-pòaⁿ,一半,tsit-puann,chit-poaⁿ,2,kautian,False
tsi̍t-sì-kè,chi̍t-sì-kè,一四界,tsit-si-ke,chit-si-ke,3,kautian,False
tsi̍t-sì-kuè,chi̍t-sì-kòe,一四界,tsit-si-kue,chit-si-koe,3,kautian,False
it-tàn,it-tàn,一旦,it-tan,it-tan,2,kautian,False
it-sing,it-seng,一生,it-sing,it-seng,2,kautian,False
tsi̍t-kah-tsí,chi̍t-kah-chí,一甲子,tsit-kah-tsi,chit-kah-chi,3,kautian,False
it--lâi,it--lâi,一來,it--lai,it--lai,2,kautian,False
it-tīng,it-tēng,一定,it-ting,it-teng,2,kautian,False
it-ti̍t,it-ti̍t,一直,it-tit,it-tit,2,kautian,False
it-lu̍t,it-lu̍t,一律,it-lut,it-lut,2,kautian,False
it-tì,it-tì,一致,it-ti,it-ti,2,kautian,False
tsi̍t-bīn,chi̍t-bīn,一面,tsit-bin,chit-bin,2,kautian,False
tsi̍t-pû-sái,chi̍t-pû-sái,一垺屎,tsit-pu-sai,chit-pu-sai,3,kautian,False
tsi̍t-sut-á,chi̍t-sut-á,一屑仔,tsit-sut-a,chit-sut-a,3,kautian,False
it-puann,it-poaⁿ,一般,it-puann,it-poaⁿ,2,kautian,False
it-lia̍p-it,it-lia̍p-it,一粒一,it-liap-it,it-liap-it,3,kautian,False
tsi̍t-khùn-á,chi̍t-khùn-á,一睏仔,tsit-khun-a,chit-khun-a,3,kautian,False
it-khài,it-khài,一概,it-khai,it-khai,2,kautian,False
tsi̍t-lōo,chi̍t-lō͘,一路,tsit-loo,chit-lo͘,2,kautian,False
tsi̍t-kuá,chi̍t-kóa,一寡,tsit-kua,chit-koa,2,kautian,False
tsi̍t-kuá-á,chi̍t-kóa-á,一寡仔,tsit-kua-a,chit-koa-a,3,kautian,False
tsi̍t-tuì-sî,chi̍t-tùi-sî,一對時,tsit-tui-si,chit-tui-si,3,kautian,False
tsi̍t-tiám-á,chi̍t-tiám-á,一點仔,tsit-tiam-a,chit-tiam-a,3,kautian,False
tsi̍t-ha̍k-sái,chi̍t-ha̍k-sái,一礐屎,tsit-hak-sai,chit-hak-sai,3,kautian,False
it,it,乙,it,it,1,kautian,False
ting,teng,丁,ting,teng,1,kautian,False
tshit,chhit,七,tshit,chhit,1,kautian,False
káu,káu,九,kau,kau,1,kautian,False
kiú,kiú,九,kiu,kiu,1,kautian,False
liáu,liáu,了,liau,liau,1,kautian,False
jī,jī,二,ji,ji,1,kautian,False
lī,lī,二,li,li,1,kautian,False
jîn,jîn,人,jin,jin,1,kautian,False
lîn,lîn,人,lin,lin,1,kautian,False
lâng,lâng,人,lang,lang,1,kautian,False
ji̍p,ji̍p,入,jip,jip,1,kautian,False
li̍p,li̍p,入,lip,lip,1,kautian,False
pat,pat,八,pat,pat,1,kautian,False
peh,peh,八,peh,peh,1,kautian,False
