tl,hanzi
tsi̍t,一【替】
it,一
it-to-lióng-tuān,一刀兩斷
tsi̍t-ē,一下
tsi̍t gue̍h-ji̍t,一月日
tsi̍t ge̍h-li̍t,一月日
tsi̍t-ji̍t-kàu-àm,一日到暗
tsi̍t-li̍t-kàu-àm,一日到暗
tsi̍t-sì-lâng,一世人
tsi̍t-puànn,一半
tsi̍t-puànn-ê-á,一半个仔
tsi̍t-puànn-ji̍t-á,一半日仔
tsi̍t-puànn-li̍t-á,一半日仔
tsi̍t-sì-kè,一四界
tsi̍t-sì-kuè,一四界
it-tàn,一旦
it-sing,一生
tsi̍t-ba̍k-nih-á,一目𥍉仔
tsi̍t kah-tsí,一甲子
tsi̍t-pah khòng-it,一百空一
it--lâi,一來
it-tīng,一定
it-ti̍t,一直
it-lu̍t,一律
it-tì,一致
tsi̍t-bīn,一面
tsi̍t-pû-sái,一垺屎
tsi̍t-sut-á,一屑仔
tsi̍t-ke-hué-á,一家伙仔
tsi̍t-ke-hé-á,一家伙仔
it-puann,一般
it-lia̍p-it,一粒一
tsi̍t-khùn-á,一睏仔
it-khài,一概
tsi̍t-lōo,一路
--tsi̍t-kuá,一寡
tsi̍t-kuá-á,一寡仔
tsi̍t tuì-sî,一對時
tsi̍t-tiap-á-kú,一霎仔久
tsi̍t-tiám-á,一點仔
tsi̍t-ha̍k-sái,一礐屎
tsi̍t-tak-kú-á,一觸久仔
it,乙
ting,丁
tshit,七
【白】káu,九
【文】kiú,九
liáu,了
jī,二
lī,二
jîn,人
lîn,人
lâng,人【替】
ji̍p,入
li̍p,入
【文】pat,八
【白】peh,八
pueh,八
to,刀
tiau,刁
【白】la̍t,力
【文】li̍k,力
【白】tsa̍p,十
【文】si̍p,十
poh,卜【替】
pok,卜
iū,又
tsa̍p-it-ko,十一哥
liáu-liáu,了了
--liáu-liáu,了了
lâng-lâng,人人
tsa̍p-jī-hun,十二分
tsa̍p-lī-hun,十二分
tsa̍p-jī senn-siùnn,十二生相
tsa̍p-lī sinn-siùnn,十二生相
si̍p-jī-tsí-tn̂g,十二指腸
si̍p-lī-tsí-tn̂g,十二指腸
Jī-káu-mê,二九暝
Lī-káu-mî,二九暝
si̍p-pat-tâu-á,十八骰仔
tsa̍p-peh-piàn,十八變
tsa̍p-pueh-piàn,十八變
tshit-sia̍h,七夕
liáu-kang,了工
lâng-kang,人工
lâng-tsâi,人才
ji̍p-thóo,入土
li̍p-thóo,入土
thiau-kang,刁工
jîn-tiong,人中
lîn-tiong,人中
tshit-khóng,七孔
káu-kháng,九孔
